,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,1.0,삼성전자,83700.0,400.0,-0.48%,100.0,4996708.0,5969783.0,55.93,16963684.0,39.28,4.15,
2,2.0,SK하이닉스,187400.0,1000.0,-0.53%,5000.0,1364276.0,728002.0,54.9,3041976.0,-14.97,-15.61,
3,3.0,LG에너지솔루션,371500.0,8500.0,-2.24%,500.0,869310.0,234000.0,4.87,171737.0,70.27,6.36,
4,4.0,삼성전자우,69100.0,100.0,-0.14%,100.0,568615.0,822887.0,75.61,1000412.0,32.43,,
5,5.0,삼성바이오로직스,790000.0,5000.0,-0.63%,2500.0,562275.0,71174.0,11.99,41085.0,65.55,9.12,
9,6.0,현대차,238000.0,3000.0,-1.24%,5000.0,503445.0,211532.0,38.61,993896.0,5.46,13.68,
10,7.0,기아,109800.0,1900.0,-1.70%,5000.0,441445.0,402044.0,40.44,1220693.0,5.04,20.44,
11,8.0,셀트리온,182200.0,2700.0,+1.50%,1000.0,397287.0,218050.0,23.41,473411.0,50.07,5.07,
12,9.0,POSCO홀딩스,395000.0,5000.0,-1.25%,5000.0,334056.0,84571.0,27.43,317349.0,19.67,3.18,
13,10.0,NAVER,185900.0,2300.0,+1.25%,100.0,301918.0,162409.0,45.45,831736.0,30.08,4.41,
17,11.0,LG화학,393000.0,6000.0,+1.55%,5000.0,277428.0,70592.0,39.31,259162.0,23.0,4.2,
18,12.0,삼성SDI,401000.0,6500.0,-1.60%,5000.0,275746.0,68765.0,42.12,261398.0,14.05,11.48,
19,13.0,KB금융,66300.0,2000.0,-2.93%,5000.0,267528.0,403511.0,75.49,1756967.0,5.8,8.44,
20,14.0,삼성물산,140100.0,6900.0,-4.69%,100.0,260014.0,185592.0,24.76,594930.0,11.85,7.28,
21,15.0,현대모비스,240500.0,10500.0,-4.18%,5000.0,225240.0,93655.0,40.09,198631.0,6.62,8.73,
25,16.0,신한지주,41850.0,1250.0,-2.90%,5000.0,213181.0,509393.0,61.22,2559095.0,4.98,8.36,
26,17.0,카카오,47850.0,200.0,-0.42%,100.0,213049.0,445244.0,28.05,939130.0,-21.02,-10.26,
27,18.0,포스코퓨처엠,268000.0,14500.0,-5.13%,500.0,207601.0,77463.0,9.17,371443.0,722.37,1.19,
28,19.0,삼성생명,81100.0,3900.0,-4.59%,500.0,162200.0,200000.0,19.5,642229.0,8.56,4.95,
29,20.0,하나금융지주,55000.0,3000.0,-5.17%,5000.0,160796.0,292357.0,70.48,1816621.0,4.74,9.01,
33,21.0,LG전자,93500.0,2900.0,-3.01%,5000.0,153011.0,163648.0,30.09,906486.0,23.72,3.69,
34,22.0,메리츠금융지주,78200.0,2500.0,-3.10%,500.0,152233.0,194671.0,17.35,718495.0,7.46,28.11,
35,23.0,한미반도체,145500.0,3800.0,+2.68%,100.0,141629.0,97339.0,14.99,4303976.0,53.01,55.54,
36,24.0,삼성화재,288500.0,6500.0,-2.20%,500.0,136676.0,47375.0,53.63,131889.0,8.02,12.73,
37,25.0,한국전력,20200.0,1100.0,-5.16%,5000.0,129677.0,641964.0,15.36,4136172.0,-2.69,-12.63,
41,26.0,LG,77600.0,2000.0,-2.51%,5000.0,122066.0,157301.0,35.41,421568.0,9.86,4.89,
42,27.0,카카오뱅크,24850.0,1300.0,-4.97%,5000.0,118515.0,476921.0,16.82,1141345.0,33.4,6.0,
43,28.0,SK,161400.0,1200.0,-0.74%,200.0,118142.0,73198.0,24.82,124326.0,-15.38,-3.67,
44,29.0,삼성전기,157700.0,1200.0,+0.77%,5000.0,117792.0,74694.0,31.76,418069.0,28.94,5.5,
45,30.0,삼성에스디에스,151400.0,300.0,+0.20%,500.0,117150.0,77378.0,18.53,99995.0,16.89,8.22,
49,31.0,크래프톤,238500.0,9000.0,-3.64%,100.0,115349.0,48364.0,35.01,86444.0,19.52,11.16,
50,32.0,KT&G,88300.0,2200.0,-2.43%,5000.0,115075.0,130322.0,44.5,297708.0,13.35,9.76,
51,33.0,한화에어로스페이스,217000.0,3000.0,+1.40%,5000.0,109867.0,50630.0,35.35,466028.0,13.44,25.6,
52,34.0,SK텔레콤,50500.0,700.0,-1.37%,100.0,108469.0,214790.0,42.38,583184.0,10.11,9.63,
53,35.0,SK스퀘어,77900.0,4800.0,+6.57%,100.0,108266.0,138981.0,49.79,642164.0,-8.53,-8.04,
57,36.0,HMM,15380.0,220.0,-1.41%,5000.0,105974.0,689039.0,10.61,1458935.0,8.41,4.59,
58,37.0,HD현대중공업,117900.0,3400.0,+2.97%,5000.0,104664.0,88773.0,7.9,144496.0,424.1,0.47,
59,38.0,SK이노베이션,108400.0,2200.0,-1.99%,5000.0,103777.0,95736.0,22.66,435365.0,41.31,1.22,
60,39.0,기업은행,12740.0,360.0,-2.75%,5000.0,101592.0,797426.0,15.11,1773525.0,3.81,8.79,
61,40.0,우리금융지주,13410.0,360.0,-2.61%,5000.0,99582.0,742592.0,41.75,2599062.0,3.96,8.3,
65,41.0,고려아연,470500.0,1500.0,-0.32%,5000.0,98375.0,20909.0,18.11,41729.0,18.01,5.72,
66,42.0,두산에너빌리티,15310.0,190.0,+1.26%,5000.0,98070.0,640561.0,17.7,3312557.0,175.98,0.78,
67,43.0,KT,34600.0,800.0,-2.26%,5000.0,88979.0,257165.0,45.63,911528.0,8.9,6.05,
68,44.0,하이브,213000.0,3500.0,-1.62%,500.0,88719.0,41652.0,21.0,168930.0,47.29,6.58,
69,45.0,S-Oil,78600.0,4100.0,-4.96%,2500.0,88490.0,112583.0,79.02,501727.0,9.66,10.83,
73,46.0,한화오션,28500.0,2350.0,+8.99%,5000.0,87312.0,306359.0,16.8,2549911.0,37.65,6.33,
74,47.0,HD현대일렉트릭,235000.0,3000.0,+1.29%,5000.0,84711.0,36047.0,27.84,1262327.0,32.69,27.71,
75,48.0,HD한국조선해양,117600.0,1300.0,+1.12%,5000.0,83229.0,70773.0,26.81,234901.0,37.54,2.26,
76,49.0,포스코인터내셔널,46450.0,1050.0,-2.21%,5000.0,81716.0,175923.0,6.96,443044.0,12.12,13.36,
77,50.0,에코프로머티,114700.0,4800.0,-4.02%,500.0,79126.0,68985.0,2.48,289195.0,1349.41,0.91,
1,51.0,아모레퍼시픽,135000.0,7600.0,+5.97%,500.0,78965.0,58493.0,27.96,351038.0,51.76,3.72,
2,52.0,삼성중공업,8910.0,410.0,+4.82%,1000.0,78408.0,880000.0,24.16,10234357.0,-53.04,-4.22,
3,53.0,대한항공,20500.0,500.0,-2.38%,5000.0,75485.0,368221.0,16.67,842812.0,7.14,11.46,
4,54.0,KODEX CD금리액티브(합성),1032770.0,205.0,+0.02%,0.0,75306.0,7292.0,0.01,337759.0,,,
5,55.0,한국타이어앤테크놀로지,59800.0,700.0,-1.16%,500.0,74077.0,123875.0,41.21,232150.0,10.29,7.85,
9,56.0,TIGER CD금리투자KIS(합성),54140.0,5.0,+0.01%,0.0,71462.0,131994.0,0.0,377449.0,,,
10,57.0,SK바이오팜,86700.0,1200.0,-1.37%,500.0,67898.0,78313.0,9.99,77422.0,-206.43,-10.96,
11,58.0,KODEX 200,37195.0,365.0,-0.97%,0.0,67435.0,181300.0,27.53,4131645.0,,,
12,59.0,포스코DX,43200.0,1100.0,-2.48%,500.0,65679.0,152035.0,6.54,600613.0,71.52,21.08,
13,60.0,현대글로비스,174500.0,1700.0,-0.96%,500.0,65438.0,37500.0,48.33,71198.0,6.17,14.52,
17,61.0,DB손해보험,88100.0,7400.0,-7.75%,500.0,62375.0,70800.0,47.48,267068.0,3.59,15.66,
18,62.0,금양,101000.0,3800.0,-3.63%,500.0,58631.0,58050.0,13.64,459418.0,-97.12,-38.52,
19,63.0,엘앤에프,160000.0,7500.0,-4.48%,500.0,58010.0,36256.0,20.97,608426.0,-29.78,-16.35,
20,64.0,LG생활건강,368000.0,15000.0,+4.25%,5000.0,57475.0,15618.0,26.88,83731.0,45.67,2.65,
21,65.0,유한양행,71200.0,2000.0,+2.89%,1000.0,57109.0,80209.0,20.67,353475.0,42.58,6.74,
25,66.0,맥쿼리인프라,12540.0,10.0,-0.08%,0.0,54647.0,435781.0,12.92,822488.0,,,
26,67.0,현대차2우B,149900.0,1000.0,-0.66%,5000.0,54145.0,36121.0,63.23,117642.0,3.44,,
27,68.0,두산밥캣,53500.0,2300.0,+4.49%,500.0,53633.0,100249.0,40.55,293094.0,5.82,16.79,
28,69.0,HD현대,67400.0,1000.0,-1.46%,1000.0,53241.0,78993.0,16.75,280481.0,20.13,3.57,
29,70.0,KODEX KOFR금리액티브(합성),106445.0,30.0,+0.03%,0.0,53222.0,50000.0,0.0,513115.0,,,
33,71.0,LG디스플레이,10020.0,40.0,-0.40%,5000.0,50100.0,500000.0,20.9,1109026.0,-1.45,-31.95,
34,72.0,두산로보틱스,76900.0,3600.0,+4.91%,500.0,49847.0,64820.0,1.89,752980.0,-256.33,-6.59,
35,73.0,삼성E&A,24950.0,50.0,-0.20%,5000.0,48902.0,196000.0,47.97,520875.0,6.49,24.45,
36,74.0,넷마블,56800.0,200.0,-0.35%,100.0,48822.0,85954.0,24.27,74440.0,-19.09,-4.9,
37,75.0,SKC,127700.0,7100.0,-5.27%,5000.0,48358.0,37868.0,14.3,938845.0,-17.55,-17.57,
41,76.0,LG이노텍,202000.0,6400.0,+3.27%,5000.0,47808.0,23667.0,22.26,191530.0,8.46,12.59,
42,77.0,한국항공우주,48600.0,1050.0,-2.11%,5000.0,47373.0,97475.0,28.25,408294.0,21.15,14.81,
43,78.0,CJ제일제당,314000.0,1000.0,-0.32%,5000.0,47270.0,15054.0,24.52,27996.0,13.33,5.55,
44,79.0,롯데케미칼,110300.0,1900.0,-1.69%,5000.0,47181.0,42775.0,26.43,115749.0,-92.38,-0.33,
45,80.0,코스모신소재,145000.0,3700.0,-2.49%,1000.0,47141.0,32511.0,13.75,179501.0,168.02,7.41,
49,81.0,SK아이이테크놀로지,65700.0,1600.0,-2.38%,1000.0,46843.0,71298.0,12.24,95075.0,57.03,3.58,
50,82.0,카카오페이,34800.0,700.0,-1.97%,500.0,46750.0,134338.0,39.59,267681.0,1831.58,0.14,
51,83.0,TIGER KOFR금리액티브(합성),104980.0,30.0,+0.03%,0.0,46513.0,44307.0,0.0,43845.0,,,
52,84.0,SK바이오사이언스,60100.0,400.0,+0.67%,500.0,46173.0,76828.0,6.59,56531.0,206.53,1.3,
53,85.0,현대로템,41600.0,250.0,-0.60%,5000.0,45403.0,109142.0,19.64,4395289.0,28.2,10.06,
57,86.0,미래에셋증권,7600.0,140.0,-1.81%,5000.0,45244.0,595316.0,13.8,728505.0,17.67,2.97,
58,87.0,한화솔루션,25700.0,1250.0,-4.64%,5000.0,44176.0,171893.0,23.72,1369546.0,-21.93,-2.48,
59,88.0,현대제철,31700.0,150.0,-0.47%,5000.0,42302.0,133446.0,24.88,268935.0,9.17,2.44,
60,89.0,LS ELECTRIC,139700.0,12200.0,+9.57%,5000.0,41910.0,30000.0,15.41,3423630.0,20.35,12.61,
61,90.0,LG유플러스,9590.0,40.0,-0.42%,5000.0,41871.0,436611.0,36.65,956236.0,6.73,7.49,
65,91.0,코웨이,55800.0,100.0,-0.18%,500.0,41180.0,73800.0,61.6,90389.0,8.74,19.03,
66,92.0,삼성카드,35400.0,0.0,0.00%,5000.0,41014.0,115859.0,6.82,98800.0,6.73,7.61,
67,93.0,현대오토에버,149400.0,1200.0,-0.80%,500.0,40971.0,27424.0,2.05,92175.0,29.74,9.01,
68,94.0,GS,43700.0,4750.0,-9.80%,5000.0,40604.0,92915.0,24.15,557309.0,3.18,10.05,
69,95.0,한미약품,316000.0,3000.0,+0.96%,2500.0,40483.0,12811.0,17.48,30133.0,27.68,16.01,
73,96.0,한진칼,59300.0,2300.0,-3.73%,2500.0,39590.0,66762.0,21.51,69565.0,10.36,14.79,
74,97.0,LS,122100.0,7200.0,+6.27%,5000.0,39316.0,32200.0,15.07,1157948.0,9.02,9.63,
75,98.0,엔씨소프트,176000.0,1800.0,-1.01%,500.0,38639.0,21954.0,37.61,92465.0,18.21,6.58,
76,99.0,오리온,95600.0,900.0,-0.93%,500.0,37797.0,39536.0,32.61,244527.0,10.03,13.91,
77,100.0,NH투자증권,11040.0,170.0,-1.52%,5000.0,36616.0,331666.0,17.13,445421.0,6.96,7.5,
1,101.0,현대건설,32700.0,700.0,-2.10%,5000.0,36413.0,111356.0,24.07,310103.0,6.86,6.77,
2,102.0,LIG넥스원,163900.0,2300.0,-1.38%,5000.0,36058.0,22000.0,20.04,157119.0,20.61,17.61,
3,103.0,현대차우,148500.0,1200.0,-0.80%,5000.0,35808.0,24113.0,67.26,52335.0,3.41,,
4,104.0,한국금융지주,62800.0,1000.0,-1.57%,5000.0,34996.0,55726.0,40.93,128104.0,5.47,8.81,
5,105.0,쌍용C&E,7000.0,0.0,0.00%,100.0,34909.0,498697.0,1.3,247149.0,16.02,13.85,
9,106.0,금호석유,119900.0,3400.0,-2.76%,5000.0,34229.0,28548.0,22.24,93415.0,8.64,7.77,
10,107.0,CJ,115500.0,4800.0,-3.99%,5000.0,33699.0,29177.0,12.52,274059.0,21.15,3.64,
11,108.0,삼성증권,36800.0,650.0,-1.74%,5000.0,32862.0,89300.0,34.3,267450.0,6.0,8.54,
12,109.0,한화시스템,17110.0,120.0,+0.71%,5000.0,32324.0,188919.0,3.98,730132.0,9.25,16.87,
13,110.0,강원랜드,15010.0,110.0,-0.73%,500.0,32112.0,213940.0,14.66,1019872.0,9.42,9.61,
17,111.0,TIGER 미국S&P500,17870.0,265.0,+1.51%,0.0,31925.0,178650.0,0.1,1359262.0,,,
18,112.0,효성중공업,339000.0,22000.0,+6.94%,5000.0,31610.0,9325.0,11.35,279951.0,27.26,11.29,
19,113.0,TIGER 미국나스닥100,112400.0,2645.0,+2.41%,0.0,31607.0,28120.0,0.06,135453.0,,,
20,114.0,키움증권,120500.0,3200.0,-2.59%,5000.0,31603.0,26227.0,25.79,41664.0,8.02,9.27,
21,115.0,한온시스템,5540.0,140.0,-2.46%,100.0,29573.0,533800.0,15.34,986280.0,57.71,2.21,
25,116.0,KODEX 종합채권(AA-이상)액티브,109720.0,430.0,+0.39%,0.0,28571.0,26040.0,0.0,9341.0,,,
26,117.0,두산,164000.0,12200.0,+8.04%,5000.0,27099.0,16524.0,18.28,420076.0,-9.04,-22.74,
27,118.0,CJ대한통운,118200.0,5100.0,-4.14%,5000.0,26964.0,22812.0,13.61,71790.0,12.0,6.27,
28,119.0,롯데지주,25700.0,400.0,-1.53%,200.0,26962.0,104909.0,8.57,159496.0,-177.24,-0.22,
29,120.0,이수페타시스,42000.0,450.0,-1.06%,1000.0,26563.0,63246.0,10.22,4075659.0,55.63,19.51,
33,121.0,현대해상,28750.0,1450.0,-4.80%,500.0,25702.0,89400.0,36.68,899834.0,4.23,7.81,
34,122.0,KODEX 24-12 은행채(AA+이상)액티브,10260.0,5.0,+0.05%,0.0,25321.0,246790.0,0.0,77714.0,,,
35,123.0,TIGER 200,37260.0,350.0,-0.93%,0.0,25001.0,67100.0,9.86,1678782.0,,,
36,124.0,대한전선,13330.0,380.0,+2.93%,1000.0,24853.0,186447.0,6.98,38959880.0,26.14,7.83,
37,125.0,한미사이언스,35000.0,500.0,-1.41%,500.0,24485.0,69957.0,2.28,167743.0,21.26,15.23,
41,126.0,현대미포조선,61300.0,1000.0,+1.66%,5000.0,24485.0,39942.0,19.67,152111.0,-17.13,-6.96,
42,127.0,BNK금융지주,7510.0,140.0,-1.83%,5000.0,24189.0,322088.0,37.07,957709.0,3.81,6.38,
43,128.0,F&F,62800.0,3900.0,-5.85%,100.0,24057.0,38307.0,13.48,394489.0,5.66,38.43,
44,129.0,TIGER 미국필라델피아반도체나스닥,17880.0,485.0,+2.79%,0.0,23843.0,133350.0,0.25,2964756.0,,,
45,130.0,JB금융지주,12050.0,130.0,-1.07%,5000.0,23508.0,195083.0,36.12,424488.0,4.05,12.23,
49,131.0,휠라홀딩스,38350.0,150.0,+0.39%,1000.0,23298.0,60752.0,45.68,66647.0,54.71,2.25,
50,132.0,아모레G,28200.0,1450.0,+5.42%,500.0,23253.0,82458.0,10.01,200346.0,22.69,3.57,
51,133.0,씨에스윈드,55100.0,2100.0,-3.67%,500.0,23236.0,42171.0,12.45,309485.0,116.99,2.24,
52,134.0,에스원,60700.0,300.0,+0.50%,500.0,23066.0,37999.0,55.21,46008.0,12.17,12.14,
53,135.0,호텔신라,58400.0,400.0,-0.68%,5000.0,22921.0,39248.0,15.35,211014.0,27.18,14.98,
57,136.0,한화생명,2630.0,90.0,-3.31%,5000.0,22842.0,868530.0,9.66,3338414.0,3.01,5.43,
58,137.0,한국가스공사,24650.0,1150.0,-4.46%,5000.0,22755.0,92313.0,6.72,316629.0,-2.99,-7.68,
59,138.0,한전기술,58800.0,300.0,+0.51%,200.0,22473.0,38220.0,7.2,120268.0,68.85,5.99,
60,139.0,농심,362500.0,9000.0,-2.42%,5000.0,22050.0,6083.0,19.8,38975.0,12.83,7.26,
61,140.0,한솔케미칼,191500.0,2800.0,-1.44%,5000.0,21707.0,11335.0,38.33,68969.0,20.6,13.1,
65,141.0,팬오션,4050.0,80.0,-1.94%,1000.0,21650.0,534570.0,13.08,1681267.0,8.84,5.32,
66,142.0,TIGER 미국테크TOP10 INDXX,18435.0,515.0,+2.87%,0.0,21541.0,116850.0,0.21,2895075.0,,,
67,143.0,제일기획,18580.0,390.0,-2.06%,200.0,21375.0,115041.0,25.53,198653.0,11.41,14.99,
68,144.0,KODEX 200TR,12790.0,120.0,-0.93%,0.0,21104.0,165000.0,0.0,320952.0,,,
69,145.0,TIGER 차이나전기차SOLACTIVE,7955.0,95.0,-1.18%,0.0,20772.0,261120.0,0.48,1451291.0,,,
73,146.0,KCC,233000.0,9000.0,-3.72%,5000.0,20705.0,8886.0,14.17,27807.0,9.74,4.13,
74,147.0,롯데에너지머티리얼즈,44650.0,1950.0,-4.18%,500.0,20588.0,46111.0,9.07,228819.0,-63.24,-2.25,
75,148.0,BGF리테일,116700.0,4000.0,-3.31%,1000.0,20170.0,17284.0,28.75,82963.0,10.3,19.23,
76,149.0,한화,26800.0,750.0,-2.72%,5000.0,20089.0,74959.0,15.54,517353.0,6.9,3.52,
77,150.0,GS리테일,19030.0,660.0,-3.35%,1000.0,19928.0,104718.0,7.41,587706.0,112.6,0.44,
1,151.0,LG화학우,259000.0,1000.0,+0.39%,5000.0,19914.0,7689.0,55.64,16867.0,15.16,,
2,152.0,롯데쇼핑,68000.0,2500.0,-3.55%,5000.0,19236.0,28289.0,9.06,128670.0,11.03,1.83,
3,153.0,KODEX 레버리지,19345.0,400.0,-2.03%,0.0,18832.0,97350.0,1.09,14474197.0,,,
4,154.0,금호타이어,6520.0,30.0,+0.46%,5000.0,18729.0,287260.0,6.54,846289.0,11.88,13.2,
5,155.0,DB하이텍,42000.0,1800.0,-4.11%,5000.0,18647.0,44399.0,23.9,504170.0,7.08,15.65,
9,156.0,에이피알,241500.0,5500.0,+2.33%,500.0,18316.0,7584.0,3.04,100258.0,21.48,54.88,
10,157.0,삼양식품,240000.0,7000.0,+3.00%,5000.0,18079.0,7533.0,12.22,126065.0,14.32,24.81,
11,158.0,이수스페셜티케미컬,320500.0,3500.0,+1.10%,5000.0,17947.0,5600.0,7.41,68162.0,-192.26,,
12,159.0,동서,17940.0,50.0,+0.28%,500.0,17886.0,99700.0,3.99,92368.0,12.35,9.23,
13,160.0,한올바이오파마,34200.0,2400.0,+7.55%,500.0,17866.0,52241.0,6.05,440491.0,510.45,1.98,
17,161.0,더존비즈온,58700.0,2100.0,+3.71%,500.0,17835.0,30383.0,15.59,1425775.0,52.55,8.19,
